Prefixo;Estado;Cidade/Região
11;São Paulo;São Paulo e Região Metropolitana
12;São Paulo;São José dos Campos/Taubaté/Vale do Paraíba
13;São Paulo;Santos/São Vicente//Vale do Ribeira
14;São Paulo;Bauru/Marília/Jaú/Botucatu
15;São Paulo;Sorocaba/Itapetininga/Itapeva
16;São Paulo;Ribeirão Preto/Franca/São Carlos/Araraquara
17;São Paulo;São José do Rio Preto/Catanduva/Barretos/Votuporanga
18;São Paulo;Presidente Prudente/Araçatuba/Birigui/Assis
19;São Paulo;Campinas/Piracicaba/Limeira/Americana
21;Rio de Janeiro;Rio de Janeiro e Região Metropolitana/Teresópolis
22;Rio de Janeiro;Campos dos Goytacazes/Nova Friburgo/Macaé/Cabo Frio
24;Rio de Janeiro;Petrópolis/Volta Redonda/Angra dos Reis
27;Espírito Santo;Vitória e Região Metropolitana/Colatina/Linhares
28;Espírito Santo;Cachoeiro de Itapemirim/Castelo
31;Minas Gerais;Belo Horizonte e Região Metropolitana/Ipatinga
32;Minas Gerais;Juiz de Fora/São João del-Rei/Barbacena
33;Minas Gerais;Governador Valadares/Teófilo Otoni/Caratinga/Manhuaçu
34;Minas Gerais;Araguari/Uberlândia/Uberaba/
35;Minas Gerais;Poços de Caldas/Pouso Alegre/Varginha
37;Minas Gerais;Divinópolis/Itaúna
38;Minas Gerais;Montes Claros/Diamantina/Noroeste de Minas
41;Paraná;Curitiba e Região Metropolitana
42;Paraná;Ponta Grossa/Guarapuava
43;Paraná;Londrina/Apucarana
44;Paraná;Maringá/Campo Mourão/Umuarama
45;Paraná;Cascavel/Foz do Iguaçu
46;Paraná;Francisco Beltrão/Pato Branco
47;Santa Catarina;Joinville/Blumenau/Itajaí/Balneário Camboriú
48;Santa Catarina;Florianópolis/Criciúma/Tubarão/Santo Amaro da Imperatriz
49;Santa Catarina;Chapecó/Lages/Caçador
51;Rio Grande do Sul;Porto Alegre e Região Metropolitana/Santa Cruz do Sul/Litoral Norte
53;Rio Grande do Sul;Pelotas/Rio Grande
54;Rio Grande do Sul;Caxias do Sul/Passo Fundo
55;Rio Grande do Sul;Santa Maria/Uruguaiana/Santana do Livramento/Santo Ângelo
61;Distrito Federal/Goiás;Abrangência em todo o Distrito Federal e municípios goianos da Região Integrada de Desenvolvimento do Distrito Federal e Entorno
62;Goiás;Goiânia e Região Metropolitana/Anápolis/Niquelândia/Porangatu
63;Tocantins;Abrangência em todo o estado
64;Goiás;Rio Verde/Itumbiara/Caldas Novas/Catalão
65;Mato Grosso;Cuiabá e Região Metropolitana
66;Mato Grosso;Rondonópolis/Sinop
67;Mato Grosso do Sul;Abrangência em todo o estado
68;Acre;Abrangência em todo o estado
69;Rondônia;Abrangência em todo o estado
71;Bahia;Salvador e Região Metropolitana
73;Bahia;Itabuna/Ilhéus
74;Bahia;Juazeiro/Irecê
75;Bahia;Feira de Santana/Alagoinhas
77;Bahia;Vitória da Conquista/Barreiras
79;Sergipe;Abrangência em todo o estado
81;Pernambuco;Recife e Região Metropolitana/Caruaru
82;Alagoas;Abrangência em todo o estado
83;Paraíba;Abrangência em todo o estado
84;Rio Grande do Norte;Abrangência em todo o estado
85;Ceará;Fortaleza e Região Metropolitana
86;Piauí;Teresina e Região Metropolitana/Parnaíba
87;Pernambuco;Petrolina/Garanhuns/Serra Talhada/Salgueiro
88;Ceará;Juazeiro do Norte/Sobral
89;Piauí;Picos/Floriano
91;Pará;Belém/Região Metropolitana
92;Amazonas;Manaus/Região Metropolitana/Parintins
93;Pará;Santarém/Altamira
94;Pará;Marabá
95;Roraima;Abrangência em todo o estado
96;Amapá;Abrangência em todo o estado
97;Amazonas;Abrangência no interior do estado
98;Maranhão;São Luís e Região Metropolitana
99;Maranhão;Imperatriz/Caxias/Codó
